,name,value,id,size,genres
25,Switzerland,209,CHE,209,"[{'title': 'Singer-Songwriter', 'value': 11.0}, {'title': 'Pop', 'value': 7.0}, {'title': 'Electronic', 'value': 4.0}, {'title': 'Heavy Metal', 'value': 4.0}, {'title': 'Hip Hop', 'value': 3.0}, {'title': 'Hard Rock', 'value': 3.0}, {'title': 'Rock', 'value': 3.0}, {'title': 'Chanson', 'value': 3.0}, {'title': 'New Wave', 'value': 2.0}, {'title': 'Britpop', 'value': 2.0}]"
26,New Zealand,197,NZL,197,"[{'title': 'Rock', 'value': 7.0}, {'title': 'Pop', 'value': 6.0}, {'title': 'Christian Rock', 'value': 5.0}, {'title': 'Indie Rock', 'value': 4.0}, {'title': 'Hip Hop', 'value': 2.0}, {'title': 'Hard Rock', 'value': 2.0}, {'title': 'Indie Pop', 'value': 1.0}, {'title': 'Glam Rock', 'value': 1.0}, {'title': 'Metalcore', 'value': 1.0}, {'title': 'Funk Metal', 'value': 1.0}]"
27,India,192,IND,192,"[{'title': 'Pop', 'value': 4.0}, {'title': 'Jazz Fusion', 'value': 2.0}, {'title': 'Rock', 'value': 1.0}, {'title': 'Singer-Songwriter', 'value': 1.0}, {'title': 'Blues', 'value': 1.0}, {'title': 'Alternative Rock', 'value': 1.0}, {'title': 'Hindustani Classical', 'value': 1.0}, {'title': 'Progressive Metal', 'value': 1.0}, {'title': 'Soundtrack', 'value': 1.0}, {'title': 'Bhangra', 'value': 1.0}]"
28,Jamaica,189,JAM,189,"[{'title': 'Reggae', 'value': 24.0}, {'title': 'Dancehall', 'value': 3.0}, {'title': 'Soul', 'value': 2.0}, {'title': 'Ska', 'value': 1.0}, {'title': 'Funk', 'value': 1.0}, {'title': 'Pop', 'value': 1.0}, {'title': 'Pop Rock', 'value': 1.0}, {'title': 'Singer-Songwriter', 'value': 1.0}, {'title': 'New Age', 'value': 1.0}, {'title': 'Neue Deutsche Härte', 'value': 0.0}]"
29,Multinational,183,29,183,"[{'title': 'Pop', 'value': 16.0}, {'title': 'Rock', 'value': 14.0}, {'title': 'Electronic', 'value': 5.0}, {'title': 'Singer-Songwriter', 'value': 3.0}, {'title': 'Blues', 'value': 3.0}, {'title': 'House', 'value': 3.0}, {'title': 'Classical', 'value': 2.0}, {'title': 'Hard Rock', 'value': 2.0}, {'title': 'Art Rock', 'value': 2.0}, {'title': 'Heavy Metal', 'value': 2.0}]"
30,Chile,173,CHL,173,"[{'title': 'Latin', 'value': 3.0}, {'title': 'Pop', 'value': 2.0}, {'title': 'Singer-Songwriter', 'value': 2.0}, {'title': 'Folk', 'value': 2.0}, {'title': 'Rock', 'value': 1.0}, {'title': 'Electronic', 'value': 1.0}, {'title': 'Speed Metal', 'value': 1.0}, {'title': 'Andean Music', 'value': 1.0}, {'title': 'Bolero', 'value': 1.0}, {'title': 'Alternative Rock', 'value': 1.0}]"
31,United Kingdom,165,GBR,165,"[{'title': 'Rock', 'value': 6.0}, {'title': 'Glam Rock', 'value': 2.0}, {'title': 'Indie Pop', 'value': 2.0}, {'title': 'Disco', 'value': 2.0}, {'title': 'Gothic Rock', 'value': 1.0}, {'title': ""Rock 'N' Roll\u200e"", 'value': 1.0}, {'title': 'Dubstep', 'value': 1.0}, {'title': 'Breakcore', 'value': 1.0}, {'title': 'Pop Rock', 'value': 1.0}, {'title': 'Dance', 'value': 1.0}]"
32,Philippines,160,PHL,160,"[{'title': 'Pop', 'value': 7.0}, {'title': 'Rock', 'value': 2.0}, {'title': 'Hip Hop', 'value': 1.0}, {'title': 'Contemporary Christian', 'value': 1.0}, {'title': 'Singer-Songwriter', 'value': 1.0}, {'title': 'Nintendocore', 'value': 0.0}, {'title': 'Nu-Disco', 'value': 0.0}, {'title': 'Nu Metal', 'value': 0.0}, {'title': 'Nu Jazz', 'value': 0.0}, {'title': 'Novelty', 'value': 0.0}]"
33,Puerto Rico,155,PRI,155,"[{'title': 'Reggaeton', 'value': 9.0}, {'title': 'Hip Hop', 'value': 4.0}, {'title': 'Salsa', 'value': 4.0}, {'title': 'Singer-Songwriter', 'value': 4.0}, {'title': 'Latin Pop', 'value': 2.0}, {'title': 'Latin', 'value': 1.0}, {'title': 'Pop', 'value': 1.0}, {'title': 'Contemporary Christian', 'value': 1.0}, {'title': 'R\\u0026B', 'value': 1.0}, {'title': 'Doom Metal', 'value': 1.0}]"
34,Czech Republic,154,CZE,154,"[{'title': 'Hip Hop', 'value': 3.0}, {'title': 'Black Metal', 'value': 2.0}, {'title': 'Thrash Metal', 'value': 2.0}, {'title': 'Power Metal', 'value': 1.0}, {'title': 'Singer-Songwriter', 'value': 1.0}, {'title': 'Medieval', 'value': 1.0}, {'title': 'Funk', 'value': 1.0}, {'title': 'Doom Metal', 'value': 1.0}, {'title': 'Pop Rock', 'value': 1.0}, {'title': 'Alternative Rock', 'value': 1.0}]"
